"textEn","textHi","optA_En","optB_En","optC_En","optD_En","optA_Hi","optB_Hi","optC_Hi","optD_Hi","correctIndex","solutionEn","solutionHi","subject","marksPerQuestion","negativeMarks"
"The distance between the points P (2, -3) and Q (3, 2) is -","बिन्दु P (2,-3) तथा Q (3,2) के मध्य की दूरी है -","√2 Units","5√2 Units","2√2 Units","3√2 Units","√2 इकाई","5√2 इकाई","2√2 इकाई","3√2 इकाई","0","Using Distance Formula: d = √((3-2)² + (2 - (-3))²) = √(1 + 25) = √26. Note: Options might have a typo for coordinates in original paper, correct mathematical value is √26.","दूरी सूत्र का उपयोग: d = √((3-2)² + (2 - (-3))²) = √(1 + 25) = √26. ध्यान दें: मूल पेपर में निर्देशांक में टाइपो हो सकता है, सही गणितीय मान √26 है।","Maths","1","0.33"
"In which quadrant both abscissa and ordinate are negative ?","किस चतुर्थांश में भुज तथा कोटी दोनों ऋणात्मक होते हैं ?","First","Second","Third","Fourth","प्रथम","द्वितीय","तृतीय","चतुर्थ","2","In the third quadrant, both x (abscissa) and y (ordinate) coordinates are negative (-x, -y).","तीसरे चतुर्थांश में x (भुज) और y (कोटि) दोनों निर्देशांक ऋणात्मक (-x, -y) होते हैं।","Maths","1","0.33"
"The compound interest on 10 lakh at 8% per annum is 2,59,712. When interest is compounded yearly then the time period is -","₹ 10 लाख का 8% वार्षिक की दर से चक्रवृद्धि व्याज ₹ 2,59,712 है। जब ब्याज वार्षिक देय हो तब समयावधि है -","2 years","3 years","4 years","5 years","2 वर्ष","3 वर्ष","4 वर्ष","5 वर्ष","1","Amount = 1000000 + 259712 = 1259712. 1259712/1000000 = (1 + 8/100)^n => 1.259712 = (1.08)^n => n = 3 years.","कुल राशि = 1000000 + 259712 = 1259712. 1259712/1000000 = (1 + 8/100)^n => 1.259712 = (1.08)^n => n = 3 वर्ष।","Maths","1","0.33"
"If the selling price of 20 articles is the same as the cost price of 23 articles, then the profit percent is -","यदि 20 वस्तुओं का विक्रय मूल्य 23 वस्तुओं के क्रय मूल्य के समान है, तब लाभ प्रतिशत है -","10%","11.5%","15%","30%","10%","11.5%","15%","30%","2","20 SP = 23 CP => SP/CP = 23/20. Profit = (3/20)*100 = 15%.","20 SP = 23 CP => SP/CP = 23/20. लाभ = (3/20)*100 = 15%.","Maths","1","0.33"
"Which of the following is not a rabi crop?","निम्न में से कौनसी रबी की फसल नहीं है ?","Rice","Wheat","Barley","Masoor","चावल","गेहूँ","जौ","मसूर","0","Rice is a Kharif crop, sown in the monsoon season.","चावल एक खरीफ फसल है, जिसे मानसून के मौसम में बोया जाता है।","Rajasthan GK","1","0.33"
"Which of the following is not an agro-based industry?","निम्न में से कौनसा कृषि आधारित उद्योग नहीं है?","Edible oil","Khandsari","Papar Bhujia","Cement","खाद्य तेल","खाण्डसारी","पापड़ भुजिया","सीमेण्ट","3","Cement is a mineral-based industry, not agro-based.","सीमेंट एक खनिज आधारित उद्योग है, कृषि आधारित नहीं।","Rajasthan GK","1","0.33"
"As per recommendations of Fifth State Finance Commission of Rajasthan, distribution of the allocated resources for local bodies, is to be made in the ratio of -","राजस्थान के पाँचवें राज्य वित्त आयोग की सिफारिशों के अनुसार स्थानीय निकायों को आवंटित संसाधनों का वितरण अनुपात है -","75.10% to rural bodies and 24.90% to urban bodies","70% to rural bodies and 30% to urban bodies","40% to rural bodies and 60% to urban bodies","50:50 to both rural and urban bodies","75.10% ग्रामीण निकायों को और 24.90% शहरी निकायों को","70% ग्रामीण निकायों को एवं 30% शहरी निकायों को","40% ग्रामीण निकायों को एवं 60% शहरी निकायों को","50:50 दोनों ग्रामीण एवं शहरी निकायों के लिए","0","The 5th SFC recommended 75.10% for PRIs and 24.90% for ULBs.","5वें राज्य वित्त आयोग ने पंचायती राज संस्थाओं के लिए 75.10% और शहरी स्थानीय निकायों के लिए 24.90% की सिफारिश की।","Rajasthan GK","1","0.33"
"Which Article of the Constitution deals with powers, authorities and responsibilities of Panchayats ?","संविधान का कौनसा अनुच्छेद पंचायतों की शक्तियाँ, अधिकार और जिम्मेदारियों से संबंधित है ?","243 (A)","356 (B)","357","243 (G)","243 (A)","356 (B)","357","243 (G)","3","Article 243G of the Indian Constitution deals with the powers, authority, and responsibilities of Panchayats.","भारतीय संविधान का अनुच्छेद 243G पंचायतों की शक्तियों, अधिकारों और उत्तरदायित्वों से संबंधित है।","Rajasthan GK","1","0.33"
"When was Central Arid Zone Research Institute set up ?","केंद्रीय शुष्क क्षेत्र अनुसंधान संस्थान का गठन कब किया गया था ?","1971","1966","1959","1985","1971","1966","1959","1985","2","CAZRI was established in 1959 in Jodhpur.","काजरी (CAZRI) की स्थापना 1959 में जोधपुर में हुई थी।","Rajasthan GK","1","0.33"
"Which of the following institutes purchases handicraft items directly from the craft persons?","निम्न में से कौनसी संस्था हस्तशिल्पियों से सीधे उनके द्वारा उत्पादित हस्तशिल्प वस्तुओं को खरीदती है ?","RIICO","RFC","RAJSICO","RBI","RIICO","RFC","RAJSICO","RBI","2","RAJSICO promotes and purchases handicrafts directly from artisans in Rajasthan.","राजसीको (RAJSICO) राजस्थान में कारीगरों से सीधे हस्तशिल्प को बढ़ावा देता है और खरीदता है।","Rajasthan GK","1","0.33"
"Who conceived the idea of the Indira Gandhi Canal Project ?","इंदिरा गांधी नहर परियोजना का विचार किसके दिमाग की उपज है ?","Mohanlal Sukhadia","Jawaharlal Nehru","Jainarayan Vyas","Kanwar Sain","मोहनलाल सुखाड़िया","जवाहरलाल नेहरू","जयनारायण व्यास","कंवर सेन","3","Kanwar Sain, a hydraulic engineer, conceived the idea of the Indira Gandhi Canal in 1948.","हाइड्रोलिक इंजीनियर कंवर सेन ने 1948 में इंदिरा गांधी नहर के विचार की कल्पना की थी।","Rajasthan GK","1","0.33"
"How many districts of Rajasthan are covered by Thar desert ?","राजस्थान के कितने जिलों में थार रेगिस्तान फैला हुआ है ?","5","6","7","12","5","6","7","12","3","The Thar desert covers 12 districts in the north-western part of Rajasthan.","थार मरुस्थल राजस्थान के उत्तर-पश्चिमी भाग के 12 जिलों में फैला हुआ है।","Rajasthan GK","1","0.33"
"When was Rajasthan State Mineral Development Corporation Ltd. amalgamated with Rajasthan State Mines and Minerals Ltd. ?","राजस्थान राज्य खनिज विकास निगम लि. का विलय राजस्थान राज्य खान एवं खनिज लि. में कब हुआ ?","20 January 1990","26 December 1995","1 March 2000","19 February 2003","20 जनवरी 1990","26 दिसम्बर 1995","1 मार्च 2000","19 फरवरी 2003","3","RSMDC was merged with RSMML on 19th February 2003.","RSMDC का विलय 19 फरवरी 2003 को RSMML में कर दिया गया था।","Rajasthan GK","1","0.33"
"What is Saksham Yojana under Sarva Shiksha Abhiyan implemented in Rajasthan ?","राजस्थान में चल रहे सर्व शिक्षा अभियान के अंतर्गत सक्षम योजना क्या है ?","It ensures self employment to youth.","It gives self defensive training to girls.","It gives skill development training to youth.","It gives insurance policy to housewives.","यह युवा लोगों को स्वरोजगार सुनिश्चित करती है।","यह बालिकाओं को आत्मरक्षा के लिए प्रशिक्षण देती है।","यह युवा लोगों को कौशल विकास का प्रशिक्षण देती है।","यह गृहिणियों को बीमा पोलिसी देती है।","1","Saksham Yojana aims to provide self-defense training to school girls.","सक्षम योजना का उद्देश्य स्कूली छात्राओं को आत्मरक्षा प्रशिक्षण प्रदान करना है।","Rajasthan GK","1","0.33"
"What is the share of Government of Rajasthan and Hindustan Petroleum Corporation Ltd. in Rajasthan Refinery ?","राजस्थान रिफाइनरी में राजस्थान सरकार और हिन्दुस्तान पेट्रोलियम निगम लि. की हिस्सेदारी कितनी है?","74: 26","26: 74","75: 25","25: 75","74: 26","26: 74","75: 25","25: 75","1","The joint venture has HPCL holding 74% and Govt of Rajasthan holding 26%. Respectively it is 26:74 for Rajasthan and HPCL.","इस संयुक्त उद्यम में HPCL की हिस्सेदारी 74% और राजस्थान सरकार की हिस्सेदारी 26% है। क्रमशः यह 26:74 है।","Rajasthan GK","1","0.33"
"In which of the following district industrial centres of Rajasthan not a single large scale industry is operating as on 31 March 2017?","निम्न में से राजस्थान के किस जिला औद्योगिक केंद्र में 31 मार्च 2017 को एक भी बड़े पैमाने का उद्योग कार्यशील नहीं था ?","Dausa","Jalore","Pratapgarh","All of these","दौसा","जालौर","प्रतापगढ","ये सभी","3","As per data till 2017, Dausa, Jalore, Pratapgarh and Churu had no large scale industries.","2017 तक के आंकड़ों के अनुसार, दौसा, जालौर, प्रतापगढ़ और चूरू में कोई बड़े पैमाने का उद्योग नहीं था।","Rajasthan GK","1","0.33"
"Which of the following is first Super Thermal Power Plant of Rajasthan?","निम्न में से कौनसा राजस्थान का पहला सुपर तापीय पावर प्लांट है ?","Suratgarh Super Thermal Power Plant","Kota Thermal Power Plant","Chhabra Thermal Power Plant","Dholpur Gas Thermal Power Plant","सूरतगढ सुपर तापीय पावर प्लांट","कोटा तापीय पावर प्लांट","छबड़ा तापीय पावर प्लांट","धौलपुर गैस तापीय पावर प्लांट","0","Suratgarh Super Thermal Power Plant is the first super thermal power station of Rajasthan.","सूरतगढ़ सुपर थर्मल पावर प्लांट राजस्थान का पहला सुपर थर्मल पावर स्टेशन है।","Rajasthan GK","1","0.33"
"Rajasthan has ___ percent Felspar reserves of the country.","राजस्थान में देश का ___ प्रतिशत फेल्सपार भण्डार है ।","100","50","33","66","100","50","33","66","3","Rajasthan produces and holds about 66% of India's total felspar reserves.","राजस्थान भारत के कुल फेल्सपार भंडार का लगभग 66% उत्पादन और भण्डारण करता है।","Rajasthan GK","1","0.33"
"Which of the following power projects of Rajasthan is under state's complete ownership?","निम्नलिखित में राजस्थान की कौनसी विद्युत परियोजना राज्य के स्वयं की पूर्ण स्वामित्व वाली परियोजना है ?","Chambal Project","Beas Project","Mahi Project","Satpura Project","चम्बल परियोजना","ब्यास परियोजना","माही परियोजना","सतपुड़ा परियोजना","2","Mahi Bajaj Sagar project is fully owned by the state of Rajasthan (in terms of power).","माही बजाज सागर परियोजना (विद्युत के संदर्भ में) पूरी तरह से राजस्थान राज्य के स्वामित्व में है।","Rajasthan GK","1","0.33"
"Name the Ruler of Jaipur who served the Mughal Court constantly during the reign of Mughal Emperors viz. Shahjahan and Aurangzeb.","मुगल बादशाह शाहजहाँ और औरंगजेब के शासनकाल में निरंतर मुगल दरबार में कार्य करने वाले जयपुर के शासक का नाम बताइये ।","Raja Man Singh","Mirza Raja Jai Singh","Maharaja Sawai Jai Singh","Raja Bhagwan Das","राजा मानसिंह","मिर्जा राजा जयसिंह","महाराजा सवाई जयसिंह","राजा भगवान दास","1","Mirza Raja Jai Singh served three Mughal emperors: Jahangir, Shah Jahan, and Aurangzeb.","मिर्जा राजा जयसिंह ने तीन मुगल सम्राटों: जहांगीर, शाहजहां और औरंगजेब की सेवा की।","Rajasthan GK","1","0.33"
"Who was the founder ruler of Kota State ?","कोटा राज्य का संस्थापक शासक कौन था ?","Madho Singh","Mukund Singh","Kishore Singh","Ram Singh","माधोसिंह","मुकुन्दसिंह","किशोरसिंह","रामसिंह","0","Rao Madho Singh became the first independent ruler of Kota in 1631.","राव माधोसिंह 1631 में कोटा के पहले स्वतंत्र शासक बने।","Rajasthan GK","1","0.33"
"In which Hindu month (V.S.) is Teja Dashmi celebrated ?","किस हिन्दू महीने (वि.सं.) में तेजादशमी मनाई जाती है ?","Asoj","Shravan","Bhadrapad","Kartik","आसोज","श्रावण","भाद्रपद","कार्तिक","2","Teja Dashmi is celebrated on the 10th day of Shukla Paksha of Bhadrapad month.","तेजादशमी भाद्रपद महीने के शुक्ल पक्ष की 10वीं तिथि को मनाई जाती है।","Rajasthan GK","1","0.33"
"Champakali ornament is worn on which part of the body?","चम्पाकली आभूषण शरीर के किस अंग पर पहना जाता है ?","Neck","Head","Forehead","Ear","गर्दन","सिर","माथा","कान","0","Champakali is a traditional necklace worn around the neck by Rajasthani women.","चम्पाकली एक पारंपरिक हार है जिसे राजस्थानी महिलाएं गले में पहनती हैं।","Rajasthan GK","1","0.33"
"Who proposed the formation of 'Hadauti Sangh' to integrate the smaller states of South Rajputana ?","दक्षिणी राजपूताना के छोटे राज्यों को एकीकृत करने के लिए किसने 'हाडौती संघ' बनाने का प्रस्ताव दिया ?","N. B. Gadgil","Maharao Bhim Singh of Kota","Maharao Bahadur Singh of Bundi","Gokul Lal Asawa","एन. बी. गाडगिल","महाराव भीमसिंह (कोटा)","महाराव बहादुरसिंह (बूंदी)","गोकुल लाल असावा","1","Maharao Bhim Singh of Kota proposed the Hadauti Sangh to merge Kota, Bundi, and Jhalawar.","कोटा के महाराव भीमसिंह ने कोटा, बूंदी और झालावाड़ के विलय के लिए हाड़ौती संघ का प्रस्ताव रखा था।","Rajasthan GK","1","0.33"
"Which ruler of Jaipur composed poems under the pen-name 'Brijnidhi'?","जयपुर का कौनसा शासक कविताओं में अपना उपनाम ब्रजनिधि लिखते थे ?","Sawai Jai Singh","Sawai Pratap Singh","Sawai Prithvi Singh","Ishwari Singh","सवाई जयसिंह","सवाई प्रतापसिंह","सवाई पृथ्वीसिंह","ईश्वरीसिंह","1","Sawai Pratap Singh wrote poems under the pen name Brijnidhi. [cite: 858, 861]","सवाई प्रतापसिंह 'ब्रजनिधि' उपनाम से कविताएँ लिखते थे। [cite: 864, 867]","Rajasthan GK","1","0.33"
"Who founded Vardhman Vidyalaya in Jaipur ?","जयपुर में वर्धमान विद्यालय की स्थापना किसने की ?","Vijay Singh Pathik","Tikaram Paliwal","Arjun Lal Sethi","Heera Lal Shastri","विजयसिंह पथिक","टीकाराम पालीवाल","अर्जुनलाल सेठी","हीरालाल शास्त्री","2","Arjun Lal Sethi established Vardhman Vidyalaya in 1907 in Jaipur. [cite: 888, 891]","अर्जुनलाल सेठी ने 1907 में जयपुर में वर्धमान विद्यालय की स्थापना की थी। [cite: 893, 897]","Rajasthan GK","1","0.33"
"Who among the following was one of the leader of the revolt of 1857 in Kota ?","निम्नलिखित में से कौन कोटा में 1857 के विद्रोह का एक नेतृत्वकर्ता था ?","Jaidayal","Nand Kishore","Kanhaiyalal","Kushal Singh","जयदयाल","नन्द किशोर","कन्हैयालाल","कुशलसिंह","0","Lala Jaidayal and Mehrab Khan led the 1857 revolt in Kota. [cite: 905, 907]","लाला जयदयाल और मेहराब खान ने कोटा में 1857 के विद्रोह का नेतृत्व किया था। [cite: 911, 913]","Rajasthan GK","1","0.33"
"Which is the most popular Rajasthani song which describes the beauty of a young girl?","कौनसा प्रसिद्ध राजस्थानी गीत एक युवती के सौंदर्य का वर्णन करता है?","Kurja","Mumal","Sapna","Gorbandh","कुरजा","मूमल","सपना","गोरबंध","1","Mumal is a famous folk song of Jaisalmer describing the beauty of Princess Mumal. [cite: 917, 983]","मूमल जैसलमेर का एक प्रसिद्ध लोकगीत है जो राजकुमारी मूमल के सौंदर्य का वर्णन करता है। [cite: 986, 990]","Rajasthan GK","1","0.33"
"Where is the temple of Goddess Tripura Sundari situated ?","त्रिपुरा सुंदरी देवी का मंदिर कहाँ स्थित है ?","Banswara","Udaipur","Dungarpur","Chittor","बाँसवाड़ा","उदयपुर","डूंगरपुर","चित्तौड़","0","The temple of Tripura Sundari is located in Talwara village of Banswara district. [cite: 995, 999]","त्रिपुरा सुंदरी का मंदिर बाँसवाड़ा जिले के तलवाड़ा गाँव में स्थित है। [cite: 1007, 1010]","Rajasthan GK","1","0.33"
"Match the following Wildlife Sanctuaries with their correct locations: (i) Ramgarh (ii) Jawahar Sagar (iii) Van Vihar (iv) Taal Chhappar (v) Sariska - (a) Dholpur (b) Churu (c) Bundi (d) Alwar (e) Kota","निम्नलिखित वन्यजीव अभयारण्यों को उनकी सही अवस्थितियों से मिलाइए : (i) रामगढ़ (ii) जवाहर सागर (iii) वन विहार (iv) ताल छाप्पर (v) सरिस्का - (a) धौलपुर (b) चुरू (c) बूंदी (d) अलवर (e) कोटा","(i)-e, (ii)-d, (iii)-a, (iv)-c, (v)-b","(i)-a, (ii)-b, (iii)-d, (iv)-e, (v)-c","(i)-c, (ii)-e, (iii)-a, (iv)-b, (v)-d","(i)-a, (ii)-d, (iii)-c, (iv)-b, (v)-e","(i)-e, (ii)-d, (iii)-a, (iv)-c, (v)-b","(i)-a, (ii)-b, (iii)-d, (iv)-e, (v)-c","(i)-c, (ii)-e, (iii)-a, (iv)-b, (v)-d","(i)-a, (ii)-d, (iii)-c, (iv)-b, (v)-e","2","Ramgarh is in Bundi, Jawahar Sagar in Kota, Van Vihar in Dholpur, Taal Chhappar in Churu, Sariska in Alwar. [cite: 920, 936]","रामगढ़ बूंदी में, जवाहर सागर कोटा में, वन विहार धौलपुर में, ताल छाप्पर चुरू में, और सरिस्का अलवर में है। [cite: 953, 970]","Rajasthan GK","1","0.33"
"Which tree leaves are used for making 'bidi'?","कौनसे वृक्ष की पत्तियों का उपयोग 'बीड़ी' निर्माण में होता है ?","Palash","Dhokda","Tendu","Teak","पलाश","धोकड़ा","तेन्दू","सागवान","2","Tendu leaves are widely used to wrap bidi. [cite: 997, 1005]","तेन्दू के पत्तों का उपयोग मुख्य रूप से बीड़ी बनाने के लिए किया जाता है। [cite: 1008, 1016]","Rajasthan GK","1","0.33"
"The Gajner Wildlife Sanctuary is located in which district of Rajasthan ?","गजनेर वन्यजीव अभयारण्य राजस्थान के कौनसे जिले में स्थित है ?","Hanumangarh","Bikaner","Churu","Sikar","हनुमानगढ़","बीकानेर","चुरू","सीकर","1","Gajner Wildlife Sanctuary is located in Bikaner district. [cite: 1024, 1026]","गजनेर वन्यजीव अभयारण्य बीकानेर जिले में स्थित है। [cite: 1029, 1033]","Rajasthan GK","1","0.33"
"Tharparkar breed is found in which region of Rajasthan ?","निम्नलिखित में से राजस्थान के कौनसे क्षेत्र में थारपारकर नस्ल पाई जाती है ?","Western Arid region","Shekhawati region","Eastern region","South-East region","पश्चिमी शुष्क क्षेत्र","शेखावाटी क्षेत्र","पूर्वी क्षेत्र","दक्षिण-पूर्व क्षेत्र","0","Tharparkar cattle breed is primarily found in the western arid region of Rajasthan (Barmer, Jaisalmer). [cite: 1037, 1038]","थारपारकर गाय की नस्ल मुख्य रूप से राजस्थान के पश्चिमी शुष्क क्षेत्र में पाई जाती है। [cite: 1044, 1046]","Rajasthan GK","1","0.33"
"Red loam soil is found in district of:","लाल दोमट मिट्टी पाया जाने वाला जिला है :","Sirohi","Kota","Dungarpur","Bikaner","सिरोही","कोटा","डूंगरपुर","बीकानेर","2","Red loam soil is mainly found in the southern parts of Rajasthan like Dungarpur and Banswara. [cite: 1076, 1078]","लाल दोमट मिट्टी मुख्य रूप से राजस्थान के दक्षिणी भागों जैसे डूंगरपुर और बांसवाड़ा में पाई जाती है। [cite: 1081, 1083]","Rajasthan GK","1","0.33"
"'Nathra ki Pal' mine is located in district of:","'नाथरा की पाल' खान किस जिले में अवस्थित है?","Ajmer","Udaipur","Sirohi","Barmer","अजमेर","उदयपुर","सिरोही","बाड़मेर","1","Nathra Ki Pal is famous for iron ore mining and is located in Udaipur district. [cite: 1087, 1090]","नाथरा की पाल लौह अयस्क खनन के लिए प्रसिद्ध है और यह उदयपुर जिले में स्थित है। [cite: 1094, 1095]","Rajasthan GK","1","0.33"
"'Luni Basin' is a part of which broad Physiographic division of Rajasthan?","'लूनी बेसिन' राजस्थान के किस विस्तृत भूआकृतिक विभाग का एक भाग है ?","Eastern Plain","Western Desert","Aravalli Hilly Region","South-Eastern Plateau","पूर्वी मैदान","पश्चिमी मरुस्थल","अरावली पहाड़ी प्रदेश","दक्षिण-पूर्वी पठार","1","Luni Basin (Godwar region) is a part of the Western Desert (Arid/Semi-Arid plain). [cite: 1052, 1054]","लूनी बेसिन (गोडवाड़ क्षेत्र) पश्चिमी मरुस्थल का एक हिस्सा है। [cite: 1057, 1060]","Rajasthan GK","1","0.33"
"Which of the following is with gentle slope on sand dunes windward side and steep slope on leeward side ?","निम्नांकित में से कौनसा बालुका स्तूप मन्द पवनामुखी ढ़ाल व तीव्र पवनाविमुखी ढ़ाल वाला होता है ?","Longitudinal","Transverse","Barchan","Nebkha","अनुदैर्ध्य","अनुप्रस्थ","बरखान","नेबखा","2","Barchan (crescent-shaped) dunes have a gentle slope on the windward side and a steep slope on the leeward side. [cite: 1063, 1065]","बरखान (अर्धचंद्राकार) रेत के टीलों का पवनामुखी ढाल मंद और पवनाविमुखी ढाल तीव्र होता है। [cite: 1069, 1072]","Rajasthan GK","1","0.33"
"Which of the following Tehsil has the highest density of Sahariya tribe in Rajasthan?","राजस्थान में निम्नलिखित में से कौनसी तहसील में सहरिया जनजाति का घनत्व अधिकतम है ?","Dhariyabad","Kishanganj","Chhabra","Mangrol","धरियाबाद","किशनगंज","छबरा","मांगरोल","1","Kishanganj and Shahbad tehsils of Baran district have the highest density of the Sahariya tribe. [cite: 1074, 1095]","बारां जिले की किशनगंज और शाहाबाद तहसीलों में सहरिया जनजाति का घनत्व सबसे अधिक है। [cite: 1097, 1100]","Rajasthan GK","1","0.33"
"Which of the following categories of forest covers the maximum percent of area in Rajasthan ?","निम्नांकित वन श्रेणियों में से राजस्थान में किसके अन्तर्गत सर्वाधिक प्रतिशत क्षेत्र आवृत है ?","Private forest","Unclassified forest","Reserved forest","Protected forest","निजी वन","अवर्गीकृत वन","आरक्षित वन","संरक्षित वन","3","Protected forests cover the maximum area (approx 56%) in Rajasthan. [cite: 1102, 1108]","राजस्थान में संरक्षित वन सबसे अधिक क्षेत्र (लगभग 56%) को कवर करते हैं। [cite: 1109, 1121]","Rajasthan GK","1","0.33"
"Varun-18 is an exercise related to which one of the following?","वरूण-18 नामक अभ्यास निम्न में से किस से सम्बन्धित है ?","Naval","Military","Airforce","Disaster Relief Force","नौसेना","थलसेना","वायुसेना","आपदा राहत दल","0","Varuna-18 is a joint bilateral naval exercise between India and France. [cite: 1127, 1129]","वरुण-18 भारत और फ्रांस के बीच एक संयुक्त द्विपक्षीय नौसेना अभ्यास है। [cite: 1133, 1135]","Current Affairs","1","0.33"
"According to Budget announcement 2018-19 what will be the salary of Asha Sahyogini in Rajasthan ?","2018-19 की बजट घोषणा के अनुसार राजस्थान में 'आशा सहयोगिनी' का वेतन क्या होगा ?","1,850","2,000","2,500","2,200","1,850","2,000","2,500","2,200","2","In the 2018-19 budget, the honorarium for Asha Sahyogini was increased to Rs. 2500. [cite: 1139, 1141]","2018-19 के बजट में आशा सहयोगिनी का मानदेय बढ़ाकर 2500 रुपये कर दिया गया था। [cite: 1140, 1141]","Current Affairs","1","0.33"
"Which one of the following Military stations will be developed as smart facility under the Smart City Mission?","निम्नलिखित में से कौनसा मिलट्री स्टेशन स्मार्ट सिटी मिशन के तहत स्मार्ट फेसिलिटी के रूप में विकसित किया जाएगा ?","Bhatinda","Wheeler Island","Jaisalmer","Jodhpur","भटिण्डा","व्हीलर द्वीप","जैसलमेर","जोधपुर","2","Jaisalmer military station was selected to be developed as a smart facility. [cite: 1145, 1148]","जैसलमेर मिलिट्री स्टेशन को स्मार्ट फैसिलिटी के रूप में विकसित करने के लिए चुना गया था। [cite: 1151, 1156]","Current Affairs","1","0.33"
"In Rajasthan on which one of the following dates, the second phase of 'Mukhyamantri Bhamashah Swasthya Bima Yojana' was started ?","राजस्थान में निम्न में से किस दिन 'मुख्यमंत्री भामाशाह स्वास्थ्य बीमा योजना' के द्वितीय चरण का आरम्भ किया गया ?","1 Jan., 2018","26 Jan., 2018","25 Nov., 2017","13 Dec., 2017","1 जनवरी, 2018","26 जनवरी, 2018","25 नवंबर, 2017","13 दिसंबर, 2017","3","The second phase of the scheme was launched on 13th December 2017. [cite: 1197, 1202]","इस योजना का दूसरा चरण 13 दिसंबर 2017 को शुरू किया गया था। [cite: 1203, 1209]","Current Affairs","1","0.33"
"Omprakash Mitharwal has won which of the following medals in recent Commonwealth Games?","ओमप्रकाश मिठरवाल ने हाल ही के राष्ट्रमण्डल खेलों में निम्न में से कौनसा पदक जीता ?","Bronze","Gold","Silver","None of these","कांस्य","स्वर्ण","रजत","इनमें से कोई नहीं","0","Shooter Om Prakash Mitharwal won Bronze medals in the 2018 Commonwealth Games. [cite: 1157, 1159]","निशानेबाज ओम प्रकाश मिठरवाल ने 2018 राष्ट्रमंडल खेलों में कांस्य पदक जीते थे। [cite: 1163, 1166]","Current Affairs","1","0.33"
"The famous 'Batadu Well' is situated in which of the following districts of Rajasthan?","प्रसिद्ध 'बाटाडू कुआँ' राजस्थान के निम्न में से किस जिले में स्थित है ?","Barmer","Jaipur","Bharatpur","Dausa","बाड़मेर","जयपुर","भरतपुर","दौसा","0","Batadu Ka Kua, famous for its marble architecture, is located in Barmer district. [cite: 1170]","बाटाडू का कुआँ, जो अपने संगमरमर की वास्तुकला के लिए प्रसिद्ध है, बाड़मेर जिले में स्थित है। [cite: 1174]","Rajasthan GK","1","0.33"
"Ayushman Bharat Mission is related to which one of the following sectors ?","आयुष्मान भारत मिशन का सम्बन्ध निम्न में से किस क्षेत्र से है ?","Education","Health","Finance","Sports","शिक्षा","स्वास्थ्य","वित्त","खेल","1","Ayushman Bharat is a national health protection scheme launched by the Govt of India. [cite: 1181]","आयुष्मान भारत भारत सरकार द्वारा शुरू की गई एक राष्ट्रीय स्वास्थ्य सुरक्षा योजना है। [cite: 1186]","Current Affairs","1","0.33"
"Who among the following is the present Central Vigilance Commissioner of India?.","निम्नलिखित में से कौन भारत के वर्तमान केन्द्रीय सतर्कता आयुक्त हैं ?","Shri Sharad Kumar","Dr. Tejendra Mohan","K. V. Chowdhary","Alok Verma","श्री शरद कुमार","डॉ. तेजेन्द्र मोहन","के. वी. चौधरी","आलोक वर्मा","2","K.V. Chowdhary was serving as the Central Vigilance Commissioner (CVC) of India in 2018. [cite: 1211]","के. वी. चौधरी 2018 में भारत के केंद्रीय सतर्कता आयुक्त (CVC) के रूप में कार्यरत थे। [cite: 1216]","Current Affairs","1","0.33"
"'Gararda Vrihad Peyjal Pariyojna' is related to which of the following district of Rajasthan ?","'गरड़दा वृहद पेयजल परियोजना' राजस्थान के निम्न में से किस जिले से सम्बन्धित है ?","Bundi","Baran","Kota","Jhalawar","बूँदी","बाराँ","कोटा","झालावाड़","0","Gararda dam and its major drinking water project are situated in the Bundi district. [cite: 1227]","गरड़दा बांध और इसकी वृहद पेयजल परियोजना बूंदी जिले में स्थित है। [cite: 1234]","Rajasthan GK","1","0.33"
"What is the current Repo Rate in India, as per the announcements made by Reserve Bank of India in June 2018?","रिजर्व बैंक ऑफ इंडिया द्वारा जून 2018 में की गई घोषणाओं के अनुसार भारत में वर्तमान रेपो रेट क्या है ?","6.25%","6%","5.75%","6.1%","6.25%","6%","5.75%","6.1%","0","In June 2018, the RBI increased the repo rate by 25 basis points to 6.25%. [cite: 1240]","जून 2018 में, RBI ने रेपो रेट में 25 आधार अंकों की वृद्धि कर इसे 6.25% कर दिया था। [cite: 1243]","Current Affairs","1","0.33"
"In which one of the following cities, the Government of India will establish India's largest data centre ?","निम्न में से किस शहर में भारत सरकार भारत का सबसे बड़ा डाटा सेंटर स्थापित करेगी ?","Bengaluru","Bhopal","Indore","Jaipur","बैंगलूरू","भोपाल","इन्दौर","जयपुर","1","The National Informatics Centre (NIC) set up India's largest data centre in Bhopal. [cite: 1248]","राष्ट्रीय सूचना विज्ञान केंद्र (NIC) ने भोपाल में भारत का सबसे बड़ा डेटा सेंटर स्थापित किया। [cite: 1254]","Current Affairs","1","0.33"
